"","So_thu_tu","Ten_phim","Mo_ta","Thoi_gian","The_loai","Sao","Diem_so","Binh_chon","Dao_dien","Dien_vien","Tong_doanh_thu"
"1799",1799,"Release","An urban tragedy set in the Bronx and based on true events.",NA,"Drama",5.3,NA,10532,"Michael Matteo Rossi","Ian Paola",NA
"1800",1800,"Chase","A hitman must prove his loyalty to his mentor and best friend, while his girlfriend wants to leave the business behind them.",NA,"Thriller",NA,NA,NA,NA,"Richard Riehle",NA
"1801",1801,"Òlòturé","A journalist goes undercover as a prostitute to expose human trafficking but she only finds a world of exploited women and ruthless violence.",106,"Crime",5.5,"72",758,"Kenneth Gyang","Ada Ameh","0.29"
"1802",1802,"Cua L<U+1EA1>i V<U+1EE3> B<U+1EA7>u","""Cua Lai Vo Bau"" is a perfect love story of Trong Thoai and Nha Linh. But life was not as dreaming as Nha Linh's ex-girlfriend Quy Khanh suddenly appeared and caused a series of ...                See full summary »",102,"Comedy",6.1,"77",163,"Nhat Trung","Tran Thanh",NA
"1803",1803,"10 giorni senza mamma","What happens if an always-present mother decides to leave for 10 days, leaving the three children with a father who was practically absent until then?",94,"Comedy",6,"77",1045,"Alessandro Genovesi","Fabio De Luigi",NA
"1804",1804,"Hollow Point","A grieving man finds himself caught up in a war between a group of charismatic vigilantes and the crime that infests their city.",89,"Action",4.2,NA,707,"Daniel Zirilli","Luke Goss",NA
"1805",1805,"Vic the Viking and the Magic Sword","Vic is a young Viking like no other: not very strong but very clever. When his father, Halvar, the village chief, steals from his sworn enemy a magic sword that turns everything into gold, the lure of gain wreaks havoc among the Vikings",77,"Animation",5.2,NA,303,"Éric Cazes","Declan Miele-Howell",NA
"1806",1806,"Irupathiyonnaam Noottaandu","Appu a surfer and restaurant owner in Goa has to face many difficulties to succeed in love.",163,"Action",3.3,NA,485,"Arun Gopy","Pranav Mohanlal",NA
"1807",1807,"Teri Meri Jodi","Daani and Roop, and Maznu and Pari are two couples who must fight cultural ideas and the beliefs of their loved ones so they can stay together.",146,"Drama",6.7,NA,54,"Aditya Sood","Sammy Gill",NA
"1808",1808,"Emmett","A twelve year-old child prodigy teams up with a quirky retiree to solve a crime and save his family from splitting up.",94,"Comedy",5.1,NA,177,"Bridget Stokes","Rita Wilson",NA
"1809",1809,"Ninu Veedani Needanu Nene","Ninu Veedani Needanu Nene is about a young man who gets mired in a dire situation and comes out successfully.",123,"Comedy",5.9,NA,374,"Caarthick Raju","Ajay.",NA
"1810",1810,"Clown","A group of teens fights for their lives as they find themselves trapped in a fun-house, stalked by a killer clown who won't rest until every last one of them is dead.",87,"Horror",2.5,NA,353,"Eric Forsberg","Adam Elshar",NA
"1811",1811,"Variações","A biopic about António Variações, a famous Portuguese pop rock singer from the 80s who died from AIDS-related complications in 1984.",109,"Biography",7.2,NA,3340,"João Maia","Sérgio Praia",NA
"1812",1812,"Beneath the Blue Suburban Skies","A suburban wife and mother longs to escape the monotony of her daily routine and the stress caused by her underwhelming adult children.",95,"Drama",7.2,NA,26,"Edward Burns","Jennifer Ehle",NA
"1813",1813,"Trinity Seven: Heavens Library & Crimson Lord","Bringing back Arata, Lilith and the rest of the Trinity Seven to face off against the greatest enemy in the history of the team; Lilith's own father, the strongest Demon Lord, who challenges Arata, now a Demon Lord candidate herself.",63,"Animation",6.2,NA,197,"Hiroshi Nishikiori","Yoshitsugu Matsuoka",NA
