"","So_thu_tu","Ten_phim","Mo_ta","Thoi_gian","The_loai","Sao","Diem_so","Binh_chon","Dao_dien","Dien_vien","Tong_doanh_thu"
"891",891,"Mientras dure la guerra","Writer Miguel de Unamuno faces himself and his ideals after the 1936's military coup d'etat.",107,"Drama",6.9,NA,6257,"Alejandro Amenábar","Karra Elejalde",NA
"892",892,"Gundala","Indonesia's preeminent comic book superhero and his alter ego Sancaka enter the cinematic universe to battle the wicked Pengkor and his diabolical squad of orphan assassins.",123,"Action",6.2,NA,4602,"Joko Anwar","Abimana Aryasatya",NA
"893",893,"Manou the Swift","The little swift Manou grows up believing he's a seagull learning to fly he finds out he never will be. When he runs from home he meets birds of his own species and finds out who he really is.",90,"Animation",5.5,NA,1017,"Andrea Block","Kate Winslet",NA
"894",894,"Prazské orgie","When a famous American writer accepts a quest from a Czech emigrant to bring him back unique Yiddish manuscripts, he accepts not only a dangerous journey to Prague, where he is watched at ...                See full summary »",103,"Drama",5,NA,100,"Irena Pavlásková","Jonas Chernick",NA
"895",895,"Biseuteo","A criminal action movie about two detectives in conflict who solve a murder that shakes up the Korean peninsula.",131,"Action",6.1,NA,1025,"Jung-Ho Lee","Lee Sung-min",NA
"896",896,"Get Lucky","Six teenagers experience tumultuous vacation at the Baltic Sea with a lot of sun and beach. At the holiday home they meet the sexologist Ellen. The teenagers experience their first love, the first sex and what possibly can go wrong.",90,"Comedy",4.4,NA,209,"Ziska Riemann","Palina Rojinski",NA
"897",897,"The Tracker","A mysterious stranger travels to a remote village where, 15 years earlier, his wife and daughter were kidnapped.",95,"Action",3.6,NA,934,"Giorgio Serafini","Dolph Lundgren",NA
"898",898,"The Mad Axeman","Frank Mitchell was sprung from Dartmoor Prison by the Krays 10 days before Christmas 1966. Whilst a national manhunt ensued, he was holed up in a flat in East London with a minder and hostess for company.",102,"Crime",2.9,NA,140,"William Kerley","Diarmaid Murtagh",NA
"899",899,"Sa M<U+1EA1>c Ch<U+1EBF>t","One by one the residents of a small, isolated town become infected by an insidious bug that turns them into violent, indiscriminate killing machines.",95,"Drama",3.7,NA,1389,"Sandra Sciberras","Jolene Anderson",NA
"900",900,"Swing Low","Alone in the woods, nature photographer Harper witnesses a violent crime. After being captured by the culprits, she uses her survivalist skills to try and make it out alive.",84,"Horror",4.9,NA,1483,"Teddy Grennan","Bruce Dern",NA
"901",901,"Mission Mangal","Based on true events of the Indian Space Research Organisation (ISRO) successfully launching the Mars Orbiter Mission (Mangalyaan), making it the least expensive mission to Mars.",130,"Drama",6.5,"53",14705,"Jagan Shakti","Akshay Kumar","3.60"
"902",902,"Kindred Spirits","A successful single mother's carefree sister reappears out of the blue one day to stay with her and her teenage daughter.",90,"Horror",5,"27",813,"Lucky McKee","Caitlin Stasey","0.24"
"903",903,"Chambre 212","After 20 years of marriage, Maria decides to leave. She moves to the room 212 of the hotel opposite her marital home. From there, Maria can scrutinize her apartment, her husband, her wedding. She wonders if she has made the right decision.",86,"Comedy",6,"71",1861,"Christophe Honoré","Chiara Mastroianni","0.07"
"904",904,"Romeo Akbar Walter","Prior to the India-Pakistan war of 1971, an Indian banker is recruited by the Research and Analysis Wing for a covert operation deep inside Pakistan.",141,"Action",6.6,"29",5561,"Robbie Grewal","John Abraham","0.01"
"905",905,"When We Last Spoke","In 1967, two sisters are abandoned and raised by grandparents in the town of Fireside. Humor, heartbreak and triumph are served with whipped cream and lots of local nuts in this heartwarming tale of family, friendship and forgiveness.",120,"Drama",7,"73",444,"Joanne Hock","Cloris Leachman","0.01"
"906",906,"Solar Impact","Solar debris crashes down to Earth, causing widespread destruction and unleashing solar radiation around the world. As genetic mutations rapidly spread, a group of friends must fight to stay alive and escape the chaos.",86,"Horror",3.4,"53",609,"Craig Tudor James","Grace Dixon","0.59"
"907",907,"Bigil","A former football player struggles to train a women's football team and avenge his father's death.",179,"Action",6.9,"82",18869,"Atlee Kumar","Joseph Vijay","0.09"
"908",908,"Siempre sí","Héctor travels from Hermosillo to Mexico City with the hope of posing naked for photography collective Feral. His friend Carlos chose not to go with him, and Héctor, determined to ...                See full summary »",104,"Drama",6.2,"47",444,"Alberto Fuguet","Gerardo Torres Rodríguez",NA
"909",909,"To Your Last Death","In order to save her siblings, a young woman takes on her father and the powerful entity known as Gamemaster, who ensnares humans into diabolical plots while her species gambles on the outcome.",91,"Animation",6.2,"66",3581,"Jason Axinn","Morena Baccarin",NA
"910",910,"Night Drive","A ride share driver's life is turned upside down after an unexpected series of misfortunes.",82,"Thriller",5.6,"81",484,"Brad Baruh","AJ Bowen",NA
"911",911,"The Warrior Queen of Jhansi","A tale of women's empowerment, The Warrior Queen of Jhansi tells the true story of Lakshmibai, the historic Queen of Jhansi who fiercely led her army against the British East India Company in the infamous mutiny of 1857.",102,"Action",4.4,"38",594,"Swati Bhise","Jodhi May",NA
"912",912,"Lucky Grandma","Set in New York City's Chinatown, an ornery, chain-smoking Chinese grandma goes all in at the casino, landing herself on the wrong side of luck - and in the middle of a gang war.",87,"Comedy",6.4,"34",1489,"Sasie Sealy","Tsai Chin",NA
"913",913,"See You Soon","A U.S. soccer star suffers a career-threatening injury in the run-up to the World Cup, and during his recovery, embarks on an epic romance with a Russian single mom.",107,"Drama",5.4,"42",804,"David Mahmoudieh","Harvey Keitel",NA
"914",914,"Cliffs of Freedom","Inspired by historical events, CLIFFS OF FREEDOM is a timeless and romantic story of bravery and faith between a Greek village girl and a Turkish Ottoman Colonel during the dawn of the Greek War for Independence.",137,"Drama",6,"71",579,"Van Ling","Tania Raymonde",NA
"915",915,"The Utah Cabin Murders","Two sisters fight for survival when masked intruders invade their vacation cabin.",85,"Crime",3.1,"77",462,"Andrew Jones","Anna Ruben",NA
"916",916,"A Beauty & The Beast Christmas","Ginger Holiday, a social media influencer and the queen of Christmas, damages her face and stays off her social media account. She starts losing followers and is in danger of losing her ...                See full summary »",90,"Comedy",4.8,"62",254,"Dylan Vox","Leah Pipes",NA
"917",917,"Tham Nhung","Liam is an ex-con trying to win back the love and trust of his family. Liam's drive for redemption will see him caught up in a web of conspiracy, crime, and corruption.",103,"Crime",5.7,NA,1397,"Ron Scalpello","Sam Claflin",NA
"918",918,"Madre","Ten years have passed since Elena's son, then six years old, has disappeared. Today Elena lives and works at a seaside restaurant until she meets a teenager who reminds her of her missing son.",128,"Drama",6.6,NA,1590,"Rodrigo Sorogoyen","Marta Nieto",NA
"919",919,"#jesuislà","Stéphane lives a quiet life as an eminent French Chef but when he decides to visit Soo, a mysterious Korean lady he fell in love with on Instagram, he'll embark on an adventurous journey full of discoveries.",97,"Comedy",5.9,NA,952,"Éric Lartigau","Alain Chabat",NA
"920",920,"Body at Brighton Rock","A park ranger spends the night guarding a potential crime scene on a remote mountain trail.",87,"Comedy",4.8,NA,2130,"Roxanne Benjamin","Karina Fontes",NA
"921",921,"Labyrinth of Cinema","The story centers on a group of young people who travel back in time when they are in a movie theater just before closing time. They witness deaths during the closing days of Japan's feudal...                See full summary »",179,"Drama",6.6,NA,671,"Nobuhiko Ôbayashi","Tadanobu Asano",NA
"922",922,"Rialto","Colm, mid-40s has a comfortable life: a managerial job in Dublin's docks, two teenage children, and a kind, loyal wife in Claire. After the death of his father, a destructive figure, Colm's emotional life cracks open, and his downward spiral continues when he is made redundant. Drinking heavily and unable to confide in Claire, Colm finds himself drawn to Jay, a 19-year-old who dabbles in ...                See full summary »",90,"Drama",6.2,NA,694,"Peter Mackie Burns","Tom Vaughan-Lawlor",NA
"923",923,"B<U+1EA1>n S<U+1EBD> Ðua Ai Ð<U+1EBF>n Ð<U+1EA3>o Hoang?","Four friends have lived in a world of their own for 8 years as they shared a flat in Madrid. They prepare to face changes to their lives at the end of the summer.",93,"Drama",5.3,NA,2434,"Jota Linares","Pol Monen",NA
"924",924,"Devil's Revenge","A down-on-his-luck archaeologist returns from a cave expedition that contains a cursed relic that's also a portal to Hell. He discovers that the only way to stop the curse on his family is to go back to the cave and destroy the relic.",98,"Horror",2.8,NA,305,"Jared Cohn","William Shatner",NA
"925",925,"Scare Package","Chad, the owner of Rad Chad's Horror Emporium, recounts a series of bone-chilling, blood-splattered tales to illustrate the rules of the horror genre to his newest employee.",107,"Comedy",5.5,NA,3881,"Courtney Andujar","Jon Michael Simpson",NA
"926",926,"Supervized","Four aging superheroes in a retirement home in Ireland come together for one last hurrah.",90,"Comedy",5.1,NA,895,"Steve Barron","Hiran Abeysekera",NA
"927",927,"Straight Up","Todd and Rory are intellectual soul mates. He might be gay. She might not care. A romantic-comedy drama with a twist; a love story without the thrill of copulation.",95,"Comedy",6.9,NA,2343,"James Sweeney","James Sweeney",NA
"928",928,"White Lie","A popular undergrad faking cancer struggles to maintain her secret.",96,"Drama",6.6,NA,2473,"Yonah Lewis","Kacey Rohl",NA
"929",929,"Run with the Hunted","Oscar, a young boy, defends his best friend, Loux, and kills her abusive father in the process, forcing him to run away from his rural hometown. His innocence slips away as he is introduced to love, crime and corruption.",93,"Crime",5.1,NA,5867,"John Swab","Ron Perlman",NA
"930",930,"Ngu<U+1EDD>i Con Ð<U+1EA5>t M<U+1EF9>","An estranged couple reunite in a Florida police station to help find their missing teenage son.",90,"Drama",5.8,NA,6818,"Kenny Leon","Kerry Washington",NA
"931",931,"Hai Phu<U+1EE3>ng","Veronica Ngo stars as an ex-gangster who is lying low in the countryside after becoming a mother, but she can't escape her violent past when her daughter is kidnapped.",98,"Action",6.3,NA,4514,"Le-Van Kiet","Veronica Ngo",NA
"932",932,"Nerkonda Paarvai","When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names.",157,"Action",7.8,NA,8791,"H. Vinoth","Ajith Kumar",NA
"933",933,"Beneath the Leaves","Four small-town boys are kidnapped by James Whitley, a warm-eyed psychopath.",90,"Thriller",4.6,NA,1473,"Adam Marino","Mira Sorvino",NA
"934",934,"Sonchiriya","Set in the Chambal valley, the film follows the story of a legion of dreaded, warring dacoits who once terrorized the Indian heartlands.",143,"Action",8.1,NA,11408,"Abhishek Chaubey","Sushant Singh Rajput",NA
"935",935,"Torpedo","During the height of World War II, commander Stan and a courageous group of resistance fighters are given a suicide mission to deliver a stolen Nazi submarine filled with atomic uranium. ...                See full summary »",102,"Action",5.9,NA,2526,"Sven Huybrechts","Koen De Bouw",NA
"936",936,"Big Kill","A tenderfoot from Philadelphia, two misfit gamblers on the run, and a deadly preacher have a date with destiny in a boom town gone bust called Big Kill.",126,"Action",5.3,NA,1220,"Scott Martin","Jason Patric",NA
"937",937,"Apple Seed","On a cross country road trip to rob his home town bank Prince Mccoy finds himself having to rely on the help of an ex convict hitchhiker named Carl Robbins. Along the way the people they ...                See full summary »",119,"Drama",6.3,NA,244,"Michael Worth","Rance Howard",NA
"938",938,"Recon","The story of four American soldiers, who, after they witness a vicious murder of an innocent civilian at the hands of their Sergeant, are sent on a suicide mission led by a local partisan.",95,"Biography",4.5,NA,495,"Robert David Port","Alexander Ludwig",NA
"939",939,"Hearts and Bones","Daniel is preparing an exhibition of his work from the world's war zones. When Sebastian learns that this exhibition may display photographs of a massacre in his village, he finds Daniel and appeals to him to exclude those photographs.",111,"Drama",6.6,NA,583,"Ben Lawrence","Hugo Weaving",NA
"940",940,"Away","A boy and a little bird are on a journey across a strange island trying to get back home.",75,"Animation",6.7,NA,1196,"Gints Zilbalodis","Sarah Hyland",NA
"941",941,"Ch<U+1EA1>y Sô An Cu<U+1EDB>i","A commitment-phobic 27 year old's relationship is put to the test when she and her new boyfriend go to 7 weddings in the same year.",90,"Comedy",5.6,NA,2215,"Robert Luketic","Noah Schnapp",NA
"942",942,"Abe","Abe is a 12-year-old boy from Brooklyn who cooks to unite his half Israeli and half Palestinian family, but everything goes wrong.",85,"Comedy",6.3,NA,1567,"Fernando Grostein Andrade","Erik Heger",NA
"943",943,"Twelve","A young boy, with help from his family, lets nothing stand between him and his dream to play in the twelve-year-old world series.",92,"Family",6.3,NA,422,"Steve Grimaldi","Luke Evans",NA
"944",944,"StarDog and TurboCat","A loyal dog and a vigilante cat embark on a space age voyage to find their way home.",90,"Animation",5.2,NA,2548,"Ben Smith","Sean Patrick Flanery",NA
"945",945,"Acceleration","A mom has one night to do some tasks in LA requiring a gun, if she wants to see her son alive. He's held by a mob boss.",85,"Action",4.2,NA,1792,"Michael Merino","Marie Laurin",NA
"946",946,"The French Teacher","A French teacher has her personal life transformed after she begins an affair with a student half her age. The present collides with the past, as long-buried family issues are unearthed in this complex, intergenerational drama.",90,"Drama",4.8,NA,128,"Stefania Vasconcellos","Joaquín Furriel",NA
"947",947,"El Hijo","Lorenzo, a 50 y.o. painter, is having a child with his new wife, Sigrid. She gets stranger and stranger - or he does. He claims, the baby's been switched.",92,"Drama",5.5,NA,3453,"Sebastián Schindel","Ken'ichi Abe",NA
"948",948,"Andâ yua beddo","Naoto was ignored by other people. During his school days, Chihiro was the first person who called his name. Naoto dreams of seeing her again and tries to find her. Finally, after 11 years,...                See full summary »",98,"Drama",5.8,NA,340,"Mari Asato","George Thomas",NA
"949",949,"American Fighter","In this gritty action tale, a young wrestler competes in the world of underground fighting to raise money for his ailing mother. But will he survive his next match?",98,"Action",5.2,NA,497,"Shaun Paul Piccinino","Thomas Bang",NA
"950",950,"Cold Night","Confronted by the cultural restrict rules of his Scandinavian society, a private detective deconstructs himself through the argument of Shakespeare' s Hamlet.",87,"Comedy",3.3,NA,49,"André Costa",NA,NA
"951",951,"National Theatre Live: Fleabag","A rip-roaring look at some sort of woman living her sort of life. With family and friendships under strain and a guinea pig cafe struggling to keep afloat, Fleabag suddenly finds herself with nothing to lose.",80,"Comedy",8.4,"65",2122,"Tony Grech-Smith","Phoebe Waller-Bridge","0.18"
"952",952,"Sunrise in Heaven","A true love story that spans a lifetime but eventually results in a painful loss of love. Jan is the daughter of an overly protective militant father, but that doesn't stop her from falling love with Steve, a young GI in the Air Force.",85,"Drama",6,"41",1471,"Waymon Boone","Caylee Cowan","0.34"
"953",953,"Once Upon a Time in Deadwood","A notorious gunslinger is slipped a slow-acting poison by an heiress and told he has three days to track down and rescue her sister, who has been kidnapped by a gang of hoodlums and holds the antidote.",85,"Comedy",2.8,"51",301,"Rene Perez","Robert Bronzi","0.10"
"954",954,"The Wheel","Matt volunteers for an experiment that promises to return mobility to his legs but he does not know at what price.",85,"Action",3.8,"49",468,"Dee McLachlan","David Arquette","0.39"
"955",955,"Bit","A transgender teenage girl on summer vacation in Los Angeles fights to survive after she falls in with four queer feminist vampires, who try to rid the city's streets of predatory men.",90,"Comedy",4.5,"46",1001,"Brad Michael Elmore","Diana Hopper",NA
"956",956,"Photograph","A struggling street photographer in Mumbai, pressured to marry by his grandmother, convinces a shy stranger to pose as his fiancée. The pair develop a connection that transforms them in ways they could not expect.",110,"Drama",6.9,"64",4906,"Ritesh Batra","Nawazuddin Siddiqui",NA
"957",957,"Rzhev","In the winter of 1942/1943, a series of not-so-well known, yet bloody battles occurred near the town of Rzhev. Those battles received the name of 'Rzhev Meat Grinder'. The film is based on the award-winning novel by Vyacheslav Kondratyev.",113,"Drama",6,"16",802,"Igor Kopylov","Sergey Zharkov",NA
"958",958,"Gibangdoryeong","Cute lover boy Heo Saek becomes Joseon's first male gisaeng and a flower-like woman named Hae Won who thinks ahead of her time, search for true love together.",110,"Comedy",6.1,"81",141,"Da-Jung Nam","Jun-Ho Lee",NA
"959",959,"Android Kunjappan Version 5.25","Story of a conventional, conservative small town villager and his son who has to move away from home due to his profession. Their relationship gets an endearing twist when an AI humanoid enters their lives and fills in their emptiness.",140,"Comedy",8.2,"64",5374,"Ratheesh Balakrishnan Poduval","Soubin Shahir",NA
"960",960,"If Not Now, When?","Four friends, who met in high school and are bonded by an event, are suddenly forced back together when one of them suffers a crisis. It's a story of love, forgiveness and the incredible bond between women.",111,"Drama",4.9,"40",151,"Tamara Bass","Joelle Ashley",NA
"961",961,"Roubaix, une lumière","A police chief in northern France tries to solve a case where an old woman was brutally murdered.",119,"Crime",6.2,NA,1975,"Arnaud Desplechin","Roschdy Zem",NA
"962",962,"All In","A young mother who grew up a victim of her environment gets pulled back into a life of crime while trying to make a better future for her three children.",98,"Drama",6.6,NA,122,"Ibrahim Yilla","Niatia 'Lil Mama' Kirkland",NA
"963",963,"Exit 0","A young couple sets out on a weekend getaway in hopes of mending their failing relationship. However, a seemingly innocent weekend turns dark when the man discovers a videotape chronicling the events of a murder in his very own hotel room from years before.",95,"Thriller",6.2,NA,12718,"E.B. Hughes","Gabe Fazio",NA
"964",964,"American Woman","Inspired by the headline-dominating kidnapping of heiress Patty Hearst in 1974, this atmospheric drama is a fictionalized re-imagining of her time in hiding, from the perspective of Jenny, a political activist assigned to take care of her.",85,"Drama",5.1,NA,270,"Semi Chellas","Hong Chau",NA
"965",965,"Les crevettes pailletées","Matthias Le Goff, an Olympic champion, makes a homophobic statement on TV. His punishment: coach the Shiny Shrimps, an amateur gay water-polo team. They have only one thing in mind: to qualify for the Gay Games in Croatia.",103,"Comedy",6.5,NA,2418,"Maxime Govare","Nicolas Gob",NA
"966",966,"Krasue: N<U+1EE5> Hôn Ma Quái","In a far-away village, lived an innocent teenage girl, ""Sai"" who later discovered herself inheriting the curse of ""Krasue"". At night, her head would detach from her body and hunts for flesh...                See full summary »",122,"Drama",6.5,NA,1664,"Sitisiri Mongkolsiri","Phantira Pipityakorn",NA
"967",967,"En del av mitt hjärta","30-something Isabella visits her hometown to celebrate her dad's 60th birthday. There she reunites with her old friend Molly, who has now taken over the old gang--and even worse, is engaged to marry Isabella's ex, Simon.",116,"Comedy",5.4,NA,1159,"Edward af Sillén","Malin Akerman",NA
"968",968,"Measure for Measure","The lives of inhabitants of a housing commission tower whose paths cross after a shocking event occurs on their front doorstep.",107,"Drama",5.6,NA,311,"Paul Ireland","Hugo Weaving",NA
"969",969,"Adam","Awkward teen Adam spends his last high school summer with his big sister, who throws herself into NYC's lesbian and trans activist scene. In this coming-of-age comedy, Adam and those around him encounter love, friendship and hard truths.",95,"Comedy",3.8,NA,1600,"Rhys Ernst","Nicholas Alexander",NA
"970",970,"Psychobitch","Generation Achievement meets impossible love. Frida is different; Marius, on the other hand, is the most popular boy in class. When they must work together at school, a turbulent and challenging relationship commences.",109,"Drama",6.9,NA,902,"Martin Lund","Jonas Tidemann",NA
"971",971,"Tu me manques","Following his son Gabriel's death, Jorge travels from conservative Bolivia to New York City to confront Gabriel's boyfriend Sebastian.",110,"Drama",7.4,NA,445,"Rodrigo Bellott","Reyes Antelo",NA
"972",972,"A Second Chance: Rivals!","It's city girls vs country girls in the most competitive gymnastics showdown ever. Get ready to tumble in A SECOND CHANCE: RIVALS!..",89,"Drama",4.8,NA,349,"Clay Glen","Emily Morris",NA
"973",973,"Traumfabrik","A romantic drama set in 1961 that follows a young studio extra's ambitious efforts to reunite with the French girl he loves after being separated by the construction of the Berlin Wall.",125,"Comedy",6.6,NA,1099,"Martin Schreier","Svenja Jung",NA
"974",974,"Already Gone","A lonely teenager runs away from home, bringing along his abusive stepfather's girlfriend.",92,"Drama",4.2,NA,257,"Christopher Kenneally","Seann William Scott",NA
"975",975,"Timeless Love","Megan wakes up from a coma in a hospital. The husband and 2 kids she just dreamed about aren't real. At her first job interview, she meets Thomas from her dream - or was it a vision years into the future?",85,"Drama",7,NA,1270,"Brian Brough","Rachel Skarsten",NA
"976",976,"Trick","A no-nonsense detective tries to track down a mass murderer named Trick, who is terrorizing a small town.",100,"Horror",4.9,NA,4814,"Patrick Lussier","Jamie Kennedy",NA
"977",977,"Premature","Seventeen year-old Ayanna meets handsome and mysterious Isaiah in her path toward self-discovery. Her entire world is turned upside down as she travails on the rigorous terrain of young love in the summer before she leaves for college.",90,"Drama",6.5,NA,765,"Rashaad Ernesto Green","Zora Howard",NA
"978",978,"Mardaani 2","A 21-year old boy Sunny has a penchant for sexually assaulting and killing girls. He's locked horns with top cop Shivani Shivaji Roy. Will she nab him?",103,"Action",7.4,NA,8940,"Gopi Puthran","Rani Mukerji",NA
"979",979,"Ventajas de viajar en tren","A woman finds herself living in her schizophrenic and abusive boyfriend's dark spiral full of insanity and perversion",106,"Comedy",6.5,NA,2543,"Aritz Moreno","Luis Tosar",NA
"980",980,"D-Day","When an elite group of American soldiers are ordered to take out a series of German machine gun nests, they find themselves blindly venturing into hostile territory.",85,"Action",4,NA,1273,"Nick Lyon","Randy Couture",NA
"981",981,"Slasher Party","A group of social media influencers go to an afterparty in a Hollywood Hills mansion only to find themselves the target of a ruthless masked killer.",80,"Horror",3.7,NA,630,"Tony Villalobos","Vitaly Zdorovetskiy",NA
"982",982,"Gone","After suffering torment and abuse at the hands of her abductor, Elle is suddenly released on the side of the road with no explanation.",86,"Mystery",5,NA,250,"Max McGuire","Michelle Mylett",NA
"983",983,"American Exit","A dying father takes a road trip with his son, to try to rebuild his relationship before he dies",86,"Adventure",4.8,NA,455,"Tim McCann","Dane Cook",NA
"984",984,"Tone-Deaf","A woman goes to the countryside to spend a quiet weekend after losing her job and having her last complicated relationship implode. She rents a country house from an old-fashioned widower, who struggles to hide his psychopathic tendencies.",87,"Comedy",4.8,NA,2589,"Richard Bates Jr.","Kim Delaney",NA
"985",985,"Miracle in Cell No. 7","Joselito (Aga Muhlach), an intellectually-disabled man, is wrongfully charged with sexual assault, kidnapping, and murder of a little girl. In prison he becomes friends with his fellow ...                See full summary »",120,"Drama",7.5,NA,1890,"Nuel C. Naval","Aga Muhlach",NA
"986",986,"Eorin uiroein","A rookie lawyer blinded by success, meets a 10 year old girl as his first client, who insists she killed her younger brother.",114,"Crime",7.4,NA,763,"Kyu-sung Jang","Dong-hwi Lee",NA
"987",987,"Remember Me","After discovering his old flame now has Alzheimer's, a hopelessly in love widower fakes his way into her senior living community in an effort to reunite with her.",88,"Comedy",5.8,NA,415,"Martín Rosete","Bruce Dern",NA
"988",988,"Dauntless: The Battle of Midway","By June 1942, the Japanese Navy has swept across the Pacific. In an effort to change the course of the war, a United States carrier group is positioned off the coast of Midway, tasked with ...                See full summary »",98,"Action",3.3,NA,775,"Mike Phillips","Jade Willey",NA
"989",989,"The VICE Guide to Bigfoot","(#1 Will blow your mind) A clickbait journalist is sent to the Appalachian foothills to cover a Bigfoot Convention where he discovers there's more to this listicle than meets the eye.",83,"Adventure",5.4,NA,274,"Zach Lamplugh","Mo Arora",NA
"990",990,"Das Vorspiel","Anna Bronsky is a violin teacher at the Conservatoire. Against the advice of her colleagues, she imposes the admission of a pupil, in whom she sees a great talent. With a lot of involvement...                See full summary »",99,"Drama",6.5,NA,825,"Ina Weisse","Nina Hoss",NA
"991",991,"Prescription for Love","Claire's a nurse with a supervisor who is intent on making her miserable. On a rare night off, she gets trapped in an elevator with a charming man. The next day she is introduced to him again but he does not recognize her.",89,"Drama",6.3,NA,890,"Brian Brough","Jillian Murray",NA
"992",992,"Dernier amour","In the eighteenth century, Casanova, known for his taste for fun and play, arrived in London after having to go into exile. In this city of which he knows nothing, he meets several times a ...                See full summary »",98,"Drama",4.9,NA,481,"Benoît Jacquot","Vincent Lindon",NA
"993",993,"Laal Kaptaan","In an 18th century setting, a Naga sadhu in India sets out on a journey across Bundelkhand to seek revenge for an injustice committed in the past.",155,"Action",7.3,NA,4543,"Navdeep Singh","Saif Ali Khan",NA
"994",994,"Phi V<U+1EE5> N<U+1EEF> Quy<U+1EC1>n","Mi-Young, who used to be considered the Major Crimes Unit's top cop, is stationed behind a desk after having a baby. She leads uneventful yet peaceful days at handling civil complaints and ...                See full summary »",107,"Action",6.1,NA,979,"Jung Da-Won","Mi-ran Ra",NA
"995",995,"Kinky Boots: The Musical","A filmed version of the popular stage musical, in which a feisty drag queen attempts to rescue a shoe factory by designing fabulous and fetishistic footwear.",135,"Musical",8.1,NA,802,"Jerry Mitchell","Matt Henry",NA
"996",996,"Room for Rent","Lonely widow Joyce rents out a room in her house and becomes dangerously obsessed with one of her guests.",81,"Crime",5.4,NA,4759,"Tommy Stovall","Lin Shaye",NA
"997",997,"The Doctor Will Kill You Now","After a skiing accident, Sarah's life is saved thanks to a brilliant surgeon, Dr. Vincent. But when Dr. Vincent mistakes Sara's gratitude for love, he becomes obsessed with her, determined to have her at any cost.",90,"Drama",4.1,NA,238,"Rob Pallatina","Gina Vitori",NA
"998",998,"The Village in the Woods","Every village, every person, has a secret...none more so than the inhabitants of this isolated, murky village whose fate relies on the luring of two unsuspecting pawns to satisfy their appetite and determine their being.",82,"Drama",4.4,NA,2667,"Raine McCormack","Beth Park",NA
"999",999,"Dil Diyan Gallan","Dil Diyan Gallan is a Punjabi love story between Natasha, an internet celebrity and Laddi, her photographer.",122,"Drama",7,NA,396,"Uday Pratap Singh","Wamiqa Gabbi",NA
"1000",1000,"Habitual","A fistful of drug popping ravers and an insane mental patient take a hell bent trip to an underground rave party ""The Habit"", being held at an abandon lunatic asylum in Salem Massachusetts....                See full summary »",95,"Horror",5.5,NA,60,"Johnny Hickey","Stanley Bruno",NA
"1001",1001,"8","An old man, fated to collect souls for eternity, seeks atonement after trading his daughter's soul.",100,"Horror",5.2,"88",6377,"Harold Holscher","Tshamano Sebe",NA
"1002",1002,"Terra Willy: Cu<U+1ED9>c Phiêu Luu Ð<U+1EBF>n Hành Tinh L<U+1EA1>","Upon the destruction of their ship, Willy is separated from his parents. He lands on a wild and unexplored planet and with the help of Buck, a survival robot, he will have to hold until the arrival of a rescue mission.",89,"Animation",6.6,"56",1699,"Eric Tosti","Landen Beattie",NA
"1003",1003,"A Midsummer Night's Dream","Young lovers, a troupe of actors, and fairies have romantic encounters in the forest on summer's night.",180,"Comedy",8.3,"85",491,"Nicholas Hytner","Oliver Chris",NA
"1004",1004,"Ch<U+1EE9>ng Nhân Hoàn H<U+1EA3>o","A man either committed suicide or he was murdered. An autistic girl is the only witness.",129,"Crime",7.5,"80",2180,"Han Lee","Jung Woo-sung",NA
"1005",1005,"Paw Patrol: Ready, Race, Rescue!","The pups have built an awesome race track and are ready to be the pit crew for their race hero. But when the legendary racer is unable to drive, he calls on his biggest fan-pup Marshall to take the wheel and race in his place.",66,"Animation",4.7,"61",245,"Charles E. Bastien","Julius Cho",NA
"1006",1006,"La vida sense la Sara Amat","Pep, a 13-year-old boy, is in love with a girl from his grandparents village, Sara Amat. One summer night Sara disappears without a trace. After a few hours, Pep finds her hiding in his room.",74,"Drama",6.9,"60",137,"Laura Jou","Maria Morera",NA
"1007",1007,"Theresa & Allison","After a one night stand turns disastrous, Theresa finds herself drawn into a world of inhuman savagery, all the while tempted by the beautiful and immortal Allison.",120,"Drama",5.7,"68",1999,"Jeremiah Kipp","Arielle Hope",NA
"1008",1008,"Di jiu tianchang","Two married couples adjust to the vast social and economic changes taking place in China from the 1980s to the present.",185,"Drama",7.7,"86",3872,"Xiaoshuai Wang","Jingchun Wang",NA
"1009",1009,"Gates of Darkness","A dramatic mystery where a haunted teen endures a terrifying exorcism in the hopes of unlocking shocking secrets about the church and his family.",91,"Drama",4.1,NA,489,"Don E. FauntLeRoy","Randy Shelly",NA
"1010",1010,"D<U+1EA5>u <U+1EA4>n R<U+1ED3>ng Thiêng: Câu Chuy<U+1EC7>n C<U+1EE7>a B<U+1EA1>n","Based on the fifth Dragon Quest game.",103,"Animation",6.6,NA,2712,"Takashi Yamazaki","Kasumi Arimura",NA
"1011",1011,"Disco","When a champion dancer begins to falter, her family questions her faith and prompts her to search for more radical solutions.",94,"Drama",5.3,NA,815,"Jorunn Myklebust Syversen","Josefine Frida Pettersen",NA
"1012",1012,"Arctic Apocalypse","A massive influx of glacial melting triggers a new ice age in the Northern Hemisphere, forcing a family to make their way across the ice-covered landscape before they are frozen out for good.",88,"Action",2.1,NA,492,"Eric Paul Erickson","Joel Berti",NA
